Event Name,Prediction (s),Damped Prediction (s),Winners 2020,MAE,Damped MAE,Best Model
men 50free,21.199995474112562,21.20520204369694,21.07,0.12999547411256174,0.135202043696939,Regular
women 50free,23.68178557386136,23.91847766623068,23.81,0.1282144261386371,0.10847766623068011,Damped
men 100free,47.25612423022551,47.45437534135725,47.02,0.23612423022550644,0.43437534135724576,Regular
women 100free,52.48433659709066,52.501435973658076,51.96,0.5243365970906595,0.5414359736580749,Regular
men 200free,103.70489736104597,103.50465757608568,104.22,0.5151026389540334,0.715342423914322,Regular
women 200free,112.13615957568508,114.5664773129636,113.5,1.3638404243149154,1.066477312963599,Damped
men 400free,220.3264470629741,218.7487469306673,223.36,3.0335529370259167,4.611253069332719,Regular
women 400free,233.67578862232006,235.33751995751953,236.69,3.014211377679942,1.3524800424804653,Damped
women 800free,478.1891672524565,489.74152339718694,492.57,14.38083274754348,2.828476602813055,Damped
men 1500free,872.4341799053391,871.6590146449555,879.65,7.215820094660899,7.990985355044472,Regular
men 100bk,51.57976364659454,51.671108566161045,51.98,0.4002363534054538,0.30889143383895146,Damped
women 100bk,58.758336798684546,59.01291265113725,57.47,1.288336798684547,1.5429126511372502,Regular
men 200bk,110.66834290163585,113.63039131910344,113.27,2.601657098364143,0.36039131910344224,Damped
women 200bk,124.42250792135461,124.77834659821112,124.68,0.2574920786453987,0.09834659821110847,Damped
men 100br,57.61788433307504,59.21731400153603,57.37,0.2478843330750422,1.8473140015360343,Regular
women 100br,64.02417829367516,65.07025794454972,64.95,0.9258217063248395,0.12025794454972072,Damped
men 200br,124.79894267620585,125.23746992412528,126.38,1.5810573237941412,1.142530075874717,Damped
women 200br,137.74150352381892,138.54685160937592,138.95,1.2084964761810681,0.40314839062406804,Damped
men 100fly,49.83626086213489,50.03195519944887,49.45,0.38626086213488975,0.5819551994488705,Regular
women 100fly,54.29369470216928,56.1743668961475,55.59,1.2963052978307203,0.5843668961474933,Damped
men 200fly,112.35011895493396,112.91011802950818,111.25,1.1001189549339614,1.6601180295081832,Regular
women 200fly,123.19583372927588,123.66704306564378,123.86,0.6641662707241238,0.19295693435621786,Damped
men 200im,113.81499401269932,113.87007698827705,115.0,1.1850059873006842,1.1299230117229513,Damped
women 200im,125.32861785390132,125.32622744278108,128.52,3.1913821460986895,3.193772557218935,Regular
men 400im,242.78493962786752,244.67735516909417,249.42,6.635060372132472,4.742644830905817,Damped
women 400im,268.7500348323247,268.9834693760769,272.08,3.3299651676753115,3.0965306239230586,Damped
